census_tract,zip_code
17031720500,60655
17031730200,60620
17031730300,60620
17031740100,60655
17031710500,60620
17031601200,60616
17031711200,60620
17031711300,60620
17031720200,60643
17031310700,60608
17031700400,60652
17031710200,60620
17031681400,60621
17031690800,60619
17031691100,60621
17031691300,60619
17031680500,60621
17031681200,60621
17031670100,60636
17031670600,60636
17031670800,60636
17031671300,60636
17031650500,60629
17031660200,60629
17031290600,60624
17031660700,60636
17031640400,60638
17031291900,60623
17031640600,60638
17031640700,60638
17031270800,60612
17031650400,60629
17031630200,60632
17031630300,60632
17031630500,60632
17031610500,60609
17031610600,60609
17031600700,60608
17031611100,60609
17031611500,60609
17031611900,60609
17031601600,60609
17031610100,60609
17031590500,60609
17031061500,60657
17031610300,60609
17031581100,60632
17031590600,60609
17031570100,60632
17031380700,60653
17031570200,60632
17031560700,60638
17031580200,60632
17031560500,60632
17031520400,60617
17031560800,60638
17031490300,60619
17031530400,60643
17031520300,60617
17031381500,60653
17031530300,60643
17031510100,60617
17031311200,60608
17031490800,60628
17031491200,60628
17031460400,60617
17031460800,60617
17031480200,60619
17031480300,60619
17031430400,60619
17031440600,60619
17031460200,60617
17031431100,60649
17031062300,60657
17031440300,60619
17031420800,60637
17031430600,60649
17031283500,60607
17031421100,60649
17031060700,60613
17031411000,60637
17031280900,60612
17031411400,60637
17031420300,60637
17031390400,60615
17031380300,60653
17031281100,60612
17031390700,60615
17031400300,60637
17031410400,60615
17031410500,60615
17031370400,60609
17031381800,60615
17031390100,60653
17031350100,60616
17031350400,60616
17031350900,60616
17031370300,60609
17031360300,60653
17031330200,60605
17031330400,60616
17031340200,60616
17031311400,60608
17031310600,60608
17031320500,60605
17031301800,60623
17031310300,60608
17031311000,60608
17031292600,60623
17031300300,60623
17031300400,60623
17031290900,60623
17031301300,60623
17031301400,60623
17031284300,60608
17031291200,60623
17031291600,60608
17031292100,60623
17031282800,60612
17031283200,60607
17031283600,60607
17031280100,60661
17031280600,60612
17031281800,60607
17031281900,60661
17031260900,60624
17031270300,60624
17031271300,60624
17031251700,60644
17031252200,60644
17031252300,60644
17031260700,60624
17031250800,60651
17031251100,60651
17031251600,60644
17031242100,60622
17031062600,60657
17031242800,60612
17031243100,60622
17031243500,60642
17031243600,60654
17031240400,60647
17031240500,60647
17031241000,60622
17031350200,60616
17031241500,60622
17031241600,60642
17031222600,60647
17031222800,60647
17031221100,60647
17031230700,60651
17031230900,60651
17031231200,60651
17031220800,60639
17031270900,60612
17031221800,60614
17031222300,60647
17031200400,60639
17031210500,60618
17031210700,60618
17031220100,60647
17031220200,60647
17031190800,60639
17031190900,60639
17031191400,60707
17031170500,60634
17031150900,60641
17031170800,60634
17031171100,60634
17031160800,60618
17031161100,60641
17031161300,60641
17031160200,60641
17031062700,60657
17031170300,60634
17031150800,60641
17031080200,60610
17031140200,60625
17031140400,60630
17031381300,60653
17031140700,60625
17031150200,60630
17031062800,60657
17031130200,60630
17031062900,60657
17031100600,60656
17031080700,60610
17031063100,60657
17031100700,60656
17031070500,60614
17031070600,60614
17031090200,60631
17031100200,60631
17031071200,60614
17031061000,60613
17031100400,60631
17031081500,60611
17031061300,60657
17031071400,60614
17031071500,60614
17031080500,60610
17031050400,60618
17031050500,60618
17031051200,60657
17031050600,60613
17031050700,60657
17031050800,60618
17031051000,60618
17031051100,60618
17031051400,60618
17031051500,60618
17031060100,60613
17031060200,60613
17031060400,60613
17031060500,60613
17031060600,60613
17031060800,60613
17031031800,60640
17031040100,60625
17031040200,60625
17031040300,60625
17031040700,60625
17031040800,60625
17031040900,60625
17031050100,60613
17031050200,60618
17031050300,60618
17031282400,60607
17031031000,60640
17031031100,60640
17031031200,60640
17031031400,60640
17031031700,60640
17031031900,60640
17031032100,60613
17031020600,60645
17031020700,60659
17031600300,60616
17031030200,60660
17031030300,60660
17031030400,60660
17031561300,60629
17031030600,60660
17031010500,60626
17031030700,60640
17031030800,60640
17031821500,60827
17031010600,60626
17031010700,60626
17031010900,60626
17031823304,60655
17031020300,60645
17031020400,60645
17031240800,60647
17031020200,60645
17031000000,60611
17031010100,60626
17031360100,60653
17031010200,60626
17031750100,60643
17031320300,60606
17031750200,60643
17031750300,60655
17031300200,60623
17031750600,60643
17031760800,60656
17031760900,60666
17031590700,60609
17031271000,60612
17031770600,60666
17031770800,60666
17031770900,60656
17031808100,60646
17031810501,60656
17031320200,60606
17031292300,60623
17031290100,60612
17031282300,60607
17031222900,60647
17031280300,60607
17031270600,60624
17031260400,60624
17031242400,60622
17031230600,60651
17031221600,60647
17031190300,60641
17031190100,60641
17031160100,60630
17031381900,60615
17031350800,60616
17031370200,60609
17031301500,60623
17031291000,60623
17031283100,60607
17031280700,60612
17031282000,60607
17031250700,60651
17031242500,60622
17031240100,60642
17031081100,60610
17031220700,60647
17031222000,60622
17031210900,60618
17031191000,60639
17031180100,60634
17031600400,60616
17031170400,60634
17031160300,60641
17031150100,60641
17031110100,60646
17031080100,60610
17031061200,60613
17031062400,60657
17031051300,60657
17031040500,60640
17031031300,60640
17031750400,60655
17031811600,60666
17031030100,60660
17031020100,60645
17031420900,60637
17031730500,60628
17031691500,60619
17031282600,60612
17031282900,60612
17031612100,60609
17031301000,60623
17031601500,60609
17031500100,60628
17031460100,60617
17031140600,60625
17031411300,60637
17031381700,60609
17031320100,60601
17031301200,60608
17031281000,60612
17031261000,60624
17031250900,60651
17031241900,60642
17031222200,60647
17031180300,60707
17031240600,60647
17031062200,60657
17031491000,60628
17031150300,60630
17031251200,60651
17031600600,60608
17031460900,60617
17031380800,60653
17031284100,60608
17031260200,60624
17031221300,60647
17031271600,60624
17031720100,60643
17031310500,60608
17031241400,60622
17031081600,60654
17031070100,60614
17031380600,60609
17031140500,60630
17031120400,60630
17031282200,60607
17031230200,60647
17031081700,60654
17031671200,60636
17031240200,60622
17031340300,60616
17031170900,60707
17031711000,60620
17031690500,60637
17031681300,60621
17031611300,60609
17031660400,60629
17031620100,60632
17031351200,60653
17031580900,60632
17031580400,60632
17031400400,60637
17031520600,60617
17031491300,60628
17031290300,60612
17031081400,60611
17031450300,60617
17031410700,60615
17031400500,60637
17031381100,60653
17031081900,60610
17031071600,60614
17031071800,60614
17031291400,60623
17031281200,60612
17031283000,60612
17031271800,60612
17031281300,60612
17031270100,60612
17031260600,60624
17031251000,60651
17031242600,60622
17031241800,60642
17031231400,60624
17031221400,60647
17031210300,60618
17031220400,60647
17031200200,60639
17031311100,60608
17031160600,60618
17031150600,60634
17031160400,60618
17031140800,60625
17031110200,60630
17031350500,60616
17031081200,60611
17031071700,60614
17031060300,60613
17031410200,60615
17031063200,60657
17031071300,60614
17031062100,60657
17031040400,60625
17031041000,60640
17031030900,60640
17031271500,60624
17031031600,60640
17031032000,60613
17031020800,60659
17031030500,60660
17031010300,60626
17031010800,60626
17031020500,60645
17031840000,60666
17031740300,60655
17031710800,60620
17031380500,60609
17031750500,60643
17031711500,60620
17031770700,60666
17031062000,60657
17031600200,60616
17031810400,60631
17031640100,60629
17031110300,60630
17031081300,60611
17031070200,60614
17031700100,60652
17031661100,60629
17031671900,60636
17031680200,60621
17031680400,60621
17031680700,60621
17031681100,60621
17031670200,60636
17031610400,60609
17031670500,60636
17031670700,60636
17031671500,60636
17031671700,60636
17031660100,60636
17031660300,60629
17031661000,60629
17031640300,60638
17031640500,60638
17031650300,60629
17031620200,60632
17031601300,60616
17031620400,60629
17031630900,60629
17031630700,60629
17031610700,60609
17031610900,60609
17031611800,60609
17031611400,60609
17031600500,60608
17031600800,60608
17031720600,60643
17031710700,60620
17031670400,60636
17031700200,60652
17031671400,60636
17031690100,60637
17031672000,60636
17031630800,60629
17031660800,60629
17031650200,60629
17031611700,60609
17031600900,60608
17031580700,60632
17031561200,60638
17031560300,60638
17031420600,60637
17031550200,60633
17031490700,60628
17031470100,60619
17031440900,60619
17031400700,60637
17031440500,60620
17031410900,60615
17031382000,60615
17031350700,60616
17031330100,60616
17031340400,60616
17031300900,60623
17031231100,60651
17031301900,60632
17031292500,60623
17031610200,60609
17031590400,60632
17031063400,60657
17031580500,60632
17031580800,60632
17031590200,60608
17031570500,60632
17031580300,60632
17031490600,60628
17031560100,60632
17031560600,60638
17031561100,60638
17031520500,60617
17031530600,60628
17031500300,60628
17031550100,60633
17031520200,60617
17031510300,60617
17031510500,60617
17031421000,60637
17031490900,60628
17031491100,60628
17031421200,60637
17031491400,60628
17031460700,60617
17031461000,60617
17031480100,60617
17031490100,60620
17031430500,60649
17031480500,60617
17031430900,60649
17031431200,60649
17031431400,60649
17031430800,60649
17031440400,60620
17031420700,60637
17031410800,60615
17031411100,60637
17031420500,60637
17031350300,60616
17031390300,60653
17031400100,60615
17031400600,60621
17031410300,60615
17031410600,60615
17031380100,60653
17031380400,60653
17031380900,60653
17031381200,60615
17031381400,60615
17031390200,60653
17031340600,60609
17031351000,60616
17031351300,60653
17031351500,60609
17031360200,60653
17031360500,60653
17031330300,60616
17031330500,60616
17031311300,60608
17031690600,60637
17031510400,60617
17031460600,60617
17031440700,60619
17031381000,60653
17031430200,60649
17031420100,60637
17031360400,60653
17031320400,60605
17031310800,60608
17031300600,60623
17031290800,60624
17031282500,60612
17031283800,60608
17031281600,60612
17031260100,60624
17031251500,60644
17031243200,60622
17031241200,60622
17031230400,60647
17031220900,60647
17031200600,60647
17031190600,60639
17031170100,60634
17031171000,60634
17031080800,60610
17031130500,60625
17031110400,60630
17031072000,60614
17031070900,60614
17031061600,60657
17031050900,60618
17031040600,60625
17031031500,60640
17031720400,60655
17031740400,60655
17031820800,60638
17031720700,60643
17031730600,60643
17031710400,60620
17031740200,60655
17031710600,60620
17031710900,60620
17031711100,60620
17031691400,60619
17031700300,60652
17031710100,60620
17031690200,60621
17031690400,60637
17031690700,60619
17031690900,60619
17031680800,60621
17031671100,60636
17031310900,60608
17031660900,60629
17031612200,60609
17031611000,60609
17031601100,60616
17031590300,60608
17031580100,60632
17031530500,60628
17031320600,60605
17031310200,60616
17031301700,60623
17031302000,60623
17031292200,60623
17031292400,60623
17031292700,60623
17031300500,60623
17031300700,60623
17031284200,60608
17031290200,60612
17031290400,60624
17031290700,60624
17031291300,60623
17031291500,60608
17031292000,60623
17031282100,60607
17031283400,60607
17031283700,60608
17031283900,60608
17031271900,60612
17031280200,60607
17031281500,60612
17031281700,60607
17031270200,60612
17031271700,60612
17031270500,60624
17031270700,60612
17031271200,60612
17031251900,60644
17031252100,60644
17031242700,60622
17031260300,60624
17031260500,60624
17031250200,60639
17031240300,60622
17031250400,60639
17031251400,60644
17031242000,60642
17031243000,60612
17031243400,60642
17031243300,60642
17031250100,60639
17031240900,60622
17031241100,60622
17031241700,60642
17031222500,60647
17031231600,60624
17031230300,60647
17031230500,60639
17031230800,60651
17031221200,60647
17031231300,60651
17031220500,60647
17031221000,60647
17031221500,60647
17031221700,60647
17031200500,60639
17031200100,60641
17031210100,60618
17031210400,60641
17031210600,60618
17031220300,60647
17031190200,60641
17031200300,60639
17031710300,60620
17031190500,60707
17031190700,60639
17031191200,60639
17031170700,60634
17031160700,60618
17031161000,60641
17031161200,60641
17031170200,60634
17031080400,60610
17031150500,60630
17031150700,60641
17031063000,60657
17031151000,60641
17031151200,60634
17031160500,60618
17031140100,60625
17031140300,60625
17031120200,60646
17031070800,60614
17031130100,60659
17031130300,60659
17031110500,60630
17031100500,60656
17031071000,60614
17031100100,60646
17031063300,60657
17031100300,60631
17031080600,60642
17031071100,60614
17031060900,60613
17031061400,60657
17031061700,60657
17031061900,60657
17031720300,60643
17031671800,60636
17031390500,60615
17031620300,60629
17031600100,60616
17031540100,60827
17031431000,60619
17031310100,60616
17031301100,60623
17031280800,60612
17031271400,60624
17031250600,60651
17031231800,60622
17031222100,60647
17031191100,60639
17031670900,60636
17031120300,60646
17031070400,60614
17031671600,60636
17031711400,60620
17031560400,60632
17031440800,60619
17031410100,60615
17031291800,60623
17031280500,60612
17031231000,60651
17031090100,60631
17031730100,60620
17031730700,60643
17031690300,60621
17031691000,60619
17031700500,60652
17031680100,60621
17031681000,60621
17031670300,60636
17031660500,60629
17031640200,60638
17031610800,60609
17031650100,60629
17031630100,60609
17031630600,60636
17031590100,60608
17031611200,60609
17031601400,60609
17031580600,60632
17031570400,60632
17031560200,60638
17031440200,60619
17031561000,60638
17031520100,60617
17031480400,60617
17031530200,60628
17031510200,60617
17031490500,60628
17031460300,60617
17031380200,60653
17031450200,60619
17031431300,60649
17031381600,60609
17031430100,60649
17031430700,60649
17031411200,60637
17031420400,60637
17031400200,60609
17031340500,60616
17031350600,60616
17031351400,60653
17031370100,60609
17031340100,60616
17031311500,60608
17031301600,60623
17031310400,60608
17031300100,60608
17031300800,60623
17031290500,60624
17031291100,60623
17031291700,60623
17031282700,60612
17031080900,60610
17031283300,60607
17031284000,60608
17031280400,60612
17031281400,60612
17031260800,60624
17031270400,60624
17031271100,60612
17031251800,60644
17031250300,60639
17031250500,60707
17031251300,60651
17031242300,60622
17031242900,60612
17031231700,60612
17031240700,60647
17031241300,60622
17031222400,60647
17031230100,60647
17031220600,60647
17031221900,60622
17031210200,60618
17031210800,60618
17031190400,60634
17031191300,60639
17031170600,60634
17031180200,60707
17031160900,60618
17031150400,60630
17031151100,60641
17031130400,60625
17031120100,60646
17031070700,60614
17031090300,60631
17031081000,60610
17031061100,60613
17031061800,60657
17031062500,60657
17031081800,60654
17031071900,60614
17031080300,60610
17031730400,60643
17031691200,60620
17031680900,60621
17031671000,60636
17031680600,60621
17031660600,60629
17031640800,60629
17031680300,60621
17031630400,60632
17031611600,60609
17031601000,60616
17031581000,60632
17031570300,60632
17031460500,60617
17031450100,60619
17031560900,60638
17031490400,60619
17031440100,60619
17031430300,60637
17031420200,60637
17031490200,60620
17031351100,60653
17031252000,60644
17031612000,60609
17031231500,60624
17031070300,60614
17031020900,60659
17031252400,60644
17031530100,60628
17031222700,60647
17031500200,60628
17031390600,60615
17031400800,60637
17031010400,60626
17031242200,60622
