zip_code,community_area
60607,28
60661,28
60606,32
60615,41
60643,75
60621,68
60629,66
60619,44
60642,24
60660,77
60604,32
60633,55
60624,26
60644,25
60603,32
60827,54
60666,76
60625,4
60641,15
60659,2
60613,6
60632,57
60609,61
60626,1
60610,8
60654,8
60651,25
60623,30
60611,8
60630,11
60640,3
60657,6
60656,10
60649,43
60646,12
60634,17
60637,42
60628,49
60617,51
60653,38
60620,71
60638,56
60652,70
60636,67
60602,32
60601,32
60645,2
60647,22
60639,19
60618,16
60616,35
60608,31
60614,7
60605,33
60631,10
60655,74
60612,28
60622,24
60707,25
